                                                                                                             Current_Time, Time_Step, Time_Series_Update_Time, Lookback_Seconds, Time_Series_Index, Gage_ID, Inflow, Water_Elevation, Levelpool_Outflow, Outflow
                   0,                   0,                   0,               86400,                   1,DIEA4,      189.22899,     1331.18091,        1.81053,        1.81053
                3600,                   0,                   0,               86400,                   1,DIEA4,      189.38965,     1331.18433,        1.81071,        1.81071
                7200,                   0,                   0,               86400,                   1,DIEA4,      189.53859,     1331.18774,        1.81090,        1.81090
               10800,                   0,                   0,               86400,                   1,DIEA4,      189.67110,     1331.19116,        1.81108,        1.81108
               14400,                   0,                   0,               86400,                   1,DIEA4,      189.78230,     1331.19458,        1.81127,        1.81127
               18000,                   0,                   0,               86400,                   1,DIEA4,      189.86653,     1331.19800,        1.81145,        1.81145
               21600,                   0,                   0,               86400,                   1,DIEA4,      189.91612,     1331.20142,        1.81164,        1.81164
               25200,                   0,                   0,               86400,                   1,DIEA4,      189.92067,     1331.20483,        1.81183,        1.81183
               28800,                   0,                   0,               86400,                   1,DIEA4,      189.86592,     1331.20825,        1.81201,        1.81201
               32400,                   0,                   0,               86400,                   1,DIEA4,      189.73317,     1331.21167,        1.81220,        1.81220
               36000,                   0,                   0,               86400,                   1,DIEA4,      189.49939,     1331.21509,        1.81238,        1.81238
               39600,                   0,                   0,               86400,                   1,DIEA4,      189.13782,     1331.21851,        1.81257,        1.81257
               43200,                   0,                   0,               86400,                   1,DIEA4,      188.61945,     1331.22192,        1.81275,        1.81275
               46800,                   0,                   0,               86400,                   1,DIEA4,      187.91493,     1331.22534,        1.81294,        1.81294
               50400,                   0,                   0,               86400,                   1,DIEA4,      186.99690,     1331.22876,        1.81312,        1.81312
               54000,                   0,                   0,               86400,                   1,DIEA4,      185.84213,     1331.23181,        1.81329,        1.81329
               57600,                   0,                   0,               86400,                   1,DIEA4,      184.43312,     1331.23474,        1.81344,        1.81344
               61200,                   0,                   0,               86400,                   1,DIEA4,      182.75943,     1331.23767,        1.81360,        1.81360
               64800,                   0,                   0,               86400,                   1,DIEA4,      180.81792,     1331.24060,        1.81376,        1.81376
               68400,                   0,                   0,               86400,                   1,DIEA4,      178.61267,     1331.24316,        1.81390,        1.81390
               72000,                   0,                   0,               86400,                   1,DIEA4,      176.15475,     1331.24609,        1.81406,        1.81406
               75600,                   0,                   0,               86400,                   1,DIEA4,      173.46162,     1331.24902,        1.81422,        1.81422
               79200,                   0,                   0,               86400,                   1,DIEA4,      170.55634,     1331.25195,        1.81437,        1.81437
               82800,                   0,                   0,               86400,                   1,DIEA4,      167.46616,     1331.25488,        1.81453,        1.81453
               86400,                   0,                   0,               86400,                   1,DIEA4,      164.22101,     1331.25781,        1.81469,        1.81469
               90000,                   0,                   0,               86400,                   1,DIEA4,      160.85229,     1331.26074,        1.81485,        1.81485
               93600,                   0,                   0,               86400,                   1,DIEA4,      157.39188,     1331.26355,        1.81500,        1.81500
               97200,                   0,                   0,               86400,                   1,DIEA4,      153.87120,     1331.26599,        1.81513,        1.81513
              100800,                   0,                   0,               86400,                   1,DIEA4,      150.32057,     1331.26843,        1.81527,        1.81527
              104400,                   0,                   0,               86400,                   1,DIEA4,      146.76892,     1331.27087,        1.81540,        1.81540
