 Current Time, Timeslice Update Time, Weight Update Time, Gage Lookback Seconds, Gage ID, Current Persistence Weight Index, Current Persistence Weight, Inflow, Storage, Water Elevation, Gage Discharge, Persisted Outflow, Levelpool Outflow, Weighted Outflow
                 300,               86400,               86400,                   0,             5531044,                   1,        1.00000,       16.41417,***************,      210.72479,       10.00000,       10.00000,        0.37264,       10.00000
                 600,               86400,               86400,                   0,             5531044,                   1,        1.00000,       16.34501,***************,      210.72624,       10.00000,       10.00000,        0.37475,       10.00000
                 900,               86400,               86400,                   0,             5531044,                   1,        1.00000,       16.27684,***************,      210.72768,       10.00000,       10.00000,        0.37686,       10.00000
                1200,               86400,               86400,                   0,             5531044,                   1,        1.00000,       16.20959,***************,      210.72910,       10.00000,       10.00000,        0.37898,       10.00000
                1500,               86400,               86400,                   0,             5531044,                   1,        1.00000,       16.14314,***************,      210.73050,       10.00000,       10.00000,        0.38110,       10.00000
                1800,               86400,               86400,                   0,             5531044,                   1,        1.00000,       16.07742,***************,      210.73189,       10.00000,       10.00000,        0.38323,       10.00000
                2100,               86400,               86400,                   0,             5531044,                   1,        1.00000,       16.01236,***************,      210.73326,       10.00000,       10.00000,        0.38537,       10.00000
                2400,               86400,               86400,                   0,             5531044,                   1,        1.00000,       15.94794,***************,      210.73462,       10.00000,       10.00000,        0.38750,       10.00000
                2700,               86400,               86400,                   0,             5531044,                   1,        1.00000,       15.88411,***************,      210.73598,       10.00000,       10.00000,        0.38964,       10.00000
                3000,               86400,               86400,                   0,             5531044,                   1,        1.00000,       15.82085,***************,      210.73732,       10.00000,       10.00000,        0.39180,       10.00000
                3300,               86400,               86400,                   0,             5531044,                   1,        1.00000,       15.75815,***************,      210.73865,       10.00000,       10.00000,        0.39395,       10.00000
                3600,               86400,               86400,                   0,             5531044,                   1,        1.00000,       15.69599,***************,      210.73996,       10.00000,       10.00000,        0.39611,       10.00000
                3900,               86400,               86400,                   0,             5531044,                   1,        1.00000,       15.63438,***************,      210.74126,       10.00000,       10.00000,        0.39826,       10.00000
                4200,               86400,               86400,                   0,             5531044,                   1,        1.00000,       15.57332,***************,      210.74254,       10.00000,       10.00000,        0.40041,       10.00000
                4500,               86400,               86400,                   0,             5531044,                   1,        1.00000,       15.51281,***************,      210.74380,       10.00000,       10.00000,        0.40256,       10.00000
                4800,               86400,               86400,                   0,             5531044,                   1,        1.00000,       15.45285,***************,      210.74506,       10.00000,       10.00000,        0.40470,       10.00000
                5100,               86400,               86400,                   0,             5531044,                   1,        1.00000,       15.39345,***************,      210.74629,       10.00000,       10.00000,        0.40683,       10.00000
                5400,               86400,               86400,                   0,             5531044,                   1,        1.00000,       15.33467,***************,      210.74751,       10.00000,       10.00000,        0.40897,       10.00000
                5700,               86400,               86400,                   0,             5531044,                   1,        1.00000,       15.27646,***************,      210.74872,       10.00000,       10.00000,        0.41109,       10.00000
                6000,               86400,               86400,                   0,             5531044,                   1,        1.00000,       15.21883,***************,      210.74992,       10.00000,       10.00000,        0.41319,       10.00000
                6300,               86400,               86400,                   0,             5531044,                   1,        1.00000,       15.16178,***************,      210.75111,       10.00000,       10.00000,        0.41531,       10.00000
                6600,               86400,               86400,                   0,             5531044,                   1,        1.00000,       15.10531,***************,      210.75229,       10.00000,       10.00000,        0.41742,       10.00000
                6900,               86400,               86400,                   0,             5531044,                   1,        1.00000,       15.04943,***************,      210.75345,       10.00000,       10.00000,        0.41952,       10.00000
                7200,               86400,               86400,                   0,             5531044,                   1,        1.00000,       14.99415,***************,      210.75459,       10.00000,       10.00000,        0.42161,       10.00000
                7500,               86400,               86400,                   0,             5531044,                   1,        1.00000,       14.93946,***************,      210.75572,       10.00000,       10.00000,        0.42368,       10.00000
                7800,               86400,               86400,                   0,             5531044,                   1,        1.00000,       14.88537,***************,      210.75684,       10.00000,       10.00000,        0.42577,       10.00000
                8100,               86400,               86400,                   0,             5531044,                   1,        1.00000,       14.83189,***************,      210.75795,       10.00000,       10.00000,        0.42781,       10.00000
                8400,               86400,               86400,                   0,             5531044,                   1,        1.00000,       14.77900,***************,      210.75905,       10.00000,       10.00000,        0.42987,       10.00000
                8700,               86400,               86400,                   0,             5531044,                   1,        1.00000,       14.72671,***************,      210.76013,       10.00000,       10.00000,        0.43191,       10.00000
                9000,               86400,               86400,                   0,             5531044,                   1,        1.00000,       14.67501,***************,      210.76120,       10.00000,       10.00000,        0.43394,       10.00000
                9300,               86400,               86400,                   0,             5531044,                   1,        1.00000,       14.62391,***************,      210.76227,       10.00000,       10.00000,        0.43595,       10.00000
                9600,               86400,               86400,                   0,             5531044,                   1,        1.00000,       14.57339,***************,      210.76332,       10.00000,       10.00000,        0.43800,       10.00000
                9900,               86400,               86400,                   0,             5531044,                   1,        1.00000,       14.52347,***************,      210.76436,       10.00000,       10.00000,        0.44000,       10.00000
               10200,               86400,               86400,                   0,             5531044,                   1,        1.00000,       14.47413,***************,      210.76538,       10.00000,       10.00000,        0.44198,       10.00000
               10500,               86400,               86400,                   0,             5531044,                   1,        1.00000,       14.42537,***************,      210.76640,       10.00000,       10.00000,        0.44395,       10.00000
               10800,               86400,               86400,                   0,             5531044,                   1,        1.00000,       14.37718,***************,      210.76741,       10.00000,       10.00000,        0.44596,       10.00000
               11100,               86400,               86400,                   0,             5531044,                   1,        1.00000,       14.32957,***************,      210.76840,       10.00000,       10.00000,        0.44792,       10.00000
               11400,               86400,               86400,                   0,             5531044,                   1,        1.00000,       14.28253,***************,      210.76938,       10.00000,       10.00000,        0.44985,       10.00000
               11700,               86400,               86400,                   0,             5531044,                   1,        1.00000,       14.23605,***************,      210.77036,       10.00000,       10.00000,        0.45177,       10.00000
               12000,               86400,               86400,                   0,             5531044,                   1,        1.00000,       14.19012,***************,      210.77132,       10.00000,       10.00000,        0.45373,       10.00000
               12300,               86400,               86400,                   0,             5531044,                   1,        1.00000,       14.14475,***************,      210.77226,       10.00000,       10.00000,        0.45563,       10.00000
               12600,               86400,               86400,                   0,             5531044,                   1,        1.00000,       14.09992,***************,      210.77321,       10.00000,       10.00000,        0.45751,       10.00000
               12900,               86400,               86400,                   0,             5531044,                   1,        1.00000,       14.05562,***************,      210.77414,       10.00000,       10.00000,        0.45944,       10.00000
               13200,               86400,               86400,                   0,             5531044,                   1,        1.00000,       14.01186,***************,      210.77505,       10.00000,       10.00000,        0.46131,       10.00000
               13500,               86400,               86400,                   0,             5531044,                   1,        1.00000,       13.96862,***************,      210.77597,       10.00000,       10.00000,        0.46315,       10.00000
               13800,               86400,               86400,                   0,             5531044,                   1,        1.00000,       13.92589,***************,      210.77687,       10.00000,       10.00000,        0.46504,       10.00000
               14100,               86400,               86400,                   0,             5531044,                   1,        1.00000,       13.88368,***************,      210.77776,       10.00000,       10.00000,        0.46687,       10.00000
