 Current Time, Timeslice Update Time, Weight Update Time, Gage Lookback Seconds, Gage ID, Current Persistence Weight Index, Current Persistence Weight, Inflow, Storage, Water Elevation, Gage Discharge, Persisted Outflow, Levelpool Outflow, Weighted Outflow
                 300,               86400,               86400,                   0,             5531044,                   1,        1.00000,       16.41417,***************,      210.72710,        0.00000,        0.00000,        0.37264,        0.00000
                 600,               86400,               86400,                   0,             5531044,                   1,        1.00000,       16.34501,***************,      210.73085,        0.00000,        0.00000,        0.37815,        0.00000
                 900,               86400,               86400,                   0,             5531044,                   1,        1.00000,       16.27684,***************,      210.73459,        0.00000,        0.00000,        0.38385,        0.00000
                1200,               86400,               86400,                   0,             5531044,                   1,        1.00000,       16.20959,***************,      210.73831,        0.00000,        0.00000,        0.38971,        0.00000
                1500,               86400,               86400,                   0,             5531044,                   1,        1.00000,       16.14314,***************,      210.74202,        0.00000,        0.00000,        0.39573,        0.00000
                1800,               86400,               86400,                   0,             5531044,                   1,        1.00000,       16.07742,***************,      210.74571,        0.00000,        0.00000,        0.40191,        0.00000
                2100,               86400,               86400,                   0,             5531044,                   1,        1.00000,       16.01236,***************,      210.74939,        0.00000,        0.00000,        0.40823,        0.00000
                2400,               86400,               86400,                   0,             5531044,                   1,        1.00000,       15.94794,***************,      210.75305,        0.00000,        0.00000,        0.41469,        0.00000
                2700,               86400,               86400,                   0,             5531044,                   1,        1.00000,       15.88411,***************,      210.75670,        0.00000,        0.00000,        0.42127,        0.00000
                3000,               86400,               86400,                   0,             5531044,                   1,        1.00000,       15.82085,***************,      210.76033,        0.00000,        0.00000,        0.42798,        0.00000
                3300,               86400,               86400,                   0,             5531044,                   1,        1.00000,       15.75815,***************,      210.76395,        0.00000,        0.00000,        0.43481,        0.00000
                3600,               86400,               86400,                   0,             5531044,                   1,        1.00000,       15.69599,***************,      210.76755,        0.00000,        0.00000,        0.44175,        0.00000
                3900,               86400,               86400,                   0,             5531044,                   1,        1.00000,       15.63438,***************,      210.77113,        0.00000,        0.00000,        0.44876,        0.00000
                4200,               86400,               86400,                   0,             5531044,                   1,        1.00000,       15.57332,***************,      210.77470,        0.00000,        0.00000,        0.45591,        0.00000
                4500,               86400,               86400,                   0,             5531044,                   1,        1.00000,       15.51281,***************,      210.77826,        0.00000,        0.00000,        0.46315,        0.00000
                4800,               86400,               86400,                   0,             5531044,                   1,        1.00000,       15.45285,***************,      210.78180,        0.00000,        0.00000,        0.47049,        0.00000
                5100,               86400,               86400,                   0,             5531044,                   1,        1.00000,       15.39345,***************,      210.78534,        0.00000,        0.00000,        0.47792,        0.00000
                5400,               86400,               86400,                   0,             5531044,                   1,        1.00000,       15.33467,***************,      210.78886,        0.00000,        0.00000,        0.48546,        0.00000
                5700,               86400,               86400,                   0,             5531044,                   1,        1.00000,       15.27646,***************,      210.78999,        0.00000,        0.00000,       10.84621,       10.34125
                6000,               86400,               86400,                   0,             5531044,                   1,        1.00000,       15.21883,***************,      210.78999,        0.00000,        0.00000,       15.70791,       15.21883
                6300,               86400,               86400,                   0,             5531044,                   1,        1.00000,       15.16178,***************,      210.78999,        0.00000,        0.00000,       15.65086,       15.16178
                6600,               86400,               86400,                   0,             5531044,                   1,        1.00000,       15.10531,***************,      210.78999,        0.00000,        0.00000,       15.59439,       15.10531
                6900,               86400,               86400,                   0,             5531044,                   1,        1.00000,       15.04943,***************,      210.78999,        0.00000,        0.00000,       15.53850,       15.04943
                7200,               86400,               86400,                   0,             5531044,                   1,        1.00000,       14.99415,***************,      210.78999,        0.00000,        0.00000,       15.48322,       14.99415
                7500,               86400,               86400,                   0,             5531044,                   1,        1.00000,       14.93946,***************,      210.78999,        0.00000,        0.00000,       15.42852,       14.93946
                7800,               86400,               86400,                   0,             5531044,                   1,        1.00000,       14.88537,***************,      210.78999,        0.00000,        0.00000,       15.37443,       14.88537
                8100,               86400,               86400,                   0,             5531044,                   1,        1.00000,       14.83189,***************,      210.78999,        0.00000,        0.00000,       15.32095,       14.83189
                8400,               86400,               86400,                   0,             5531044,                   1,        1.00000,       14.77900,***************,      210.78999,        0.00000,        0.00000,       15.26806,       14.77900
                8700,               86400,               86400,                   0,             5531044,                   1,        1.00000,       14.72671,***************,      210.78999,        0.00000,        0.00000,       15.21576,       14.72671
                9000,               86400,               86400,                   0,             5531044,                   1,        1.00000,       14.67501,***************,      210.78999,        0.00000,        0.00000,       15.16406,       14.67501
                9300,               86400,               86400,                   0,             5531044,                   1,        1.00000,       14.62391,***************,      210.78999,        0.00000,        0.00000,       15.11296,       14.62391
                9600,               86400,               86400,                   0,             5531044,                   1,        1.00000,       14.57339,***************,      210.78999,        0.00000,        0.00000,       15.06243,       14.57339
                9900,               86400,               86400,                   0,             5531044,                   1,        1.00000,       14.52347,***************,      210.78999,        0.00000,        0.00000,       15.01251,       14.52347
               10200,               86400,               86400,                   0,             5531044,                   1,        1.00000,       14.47413,***************,      210.78999,        0.00000,        0.00000,       14.96316,       14.47413
               10500,               86400,               86400,                   0,             5531044,                   1,        1.00000,       14.42537,***************,      210.78999,        0.00000,        0.00000,       14.91440,       14.42537
               10800,               86400,               86400,                   0,             5531044,                   1,        1.00000,       14.37718,***************,      210.78999,        0.00000,        0.00000,       14.86621,       14.37718
               11100,               86400,               86400,                   0,             5531044,                   1,        1.00000,       14.32957,***************,      210.78999,        0.00000,        0.00000,       14.81860,       14.32957
               11400,               86400,               86400,                   0,             5531044,                   1,        1.00000,       14.28253,***************,      210.78999,        0.00000,        0.00000,       14.77156,       14.28253
               11700,               86400,               86400,                   0,             5531044,                   1,        1.00000,       14.23605,***************,      210.78999,        0.00000,        0.00000,       14.72507,       14.23605
               12000,               86400,               86400,                   0,             5531044,                   1,        1.00000,       14.19012,***************,      210.78999,        0.00000,        0.00000,       14.67914,       14.19012
               12300,               86400,               86400,                   0,             5531044,                   1,        1.00000,       14.14475,***************,      210.78999,        0.00000,        0.00000,       14.63376,       14.14475
               12600,               86400,               86400,                   0,             5531044,                   1,        1.00000,       14.09992,***************,      210.78999,        0.00000,        0.00000,       14.58893,       14.09992
               12900,               86400,               86400,                   0,             5531044,                   1,        1.00000,       14.05562,***************,      210.78999,        0.00000,        0.00000,       14.54463,       14.05562
               13200,               86400,               86400,                   0,             5531044,                   1,        1.00000,       14.01186,***************,      210.78999,        0.00000,        0.00000,       14.50087,       14.01186
               13500,               86400,               86400,                   0,             5531044,                   1,        1.00000,       13.96862,***************,      210.78999,        0.00000,        0.00000,       14.45763,       13.96862
               13800,               86400,               86400,                   0,             5531044,                   1,        1.00000,       13.92589,***************,      210.78999,        0.00000,        0.00000,       14.41489,       13.92589
               14100,               86400,               86400,                   0,             5531044,                   1,        1.00000,       13.88368,***************,      210.78999,        0.00000,        0.00000,       14.37268,       13.88368
               14400,               86400,               86400,                   0,             5531044,                   1,        1.00000,       13.84198,***************,      210.78999,        0.00000,        0.00000,       14.33098,       13.84198
               14700,               86400,               86400,                   0,             5531044,                   1,        1.00000,       13.80077,***************,      210.78999,        0.00000,        0.00000,       14.28976,       13.80077
               15000,               86400,               86400,                   0,             5531044,                   1,        1.00000,       13.76007,***************,      210.78999,        0.00000,        0.00000,       14.24906,       13.76007
               15300,               86400,               86400,                   0,             5531044,                   1,        1.00000,       13.71986,***************,      210.78999,        0.00000,        0.00000,       14.20885,       13.71986
               15600,               86400,               86400,                   0,             5531044,                   1,        1.00000,       13.68012,***************,      210.78999,        0.00000,        0.00000,       14.16911,       13.68012
               15900,               86400,               86400,                   0,             5531044,                   1,        1.00000,       13.64086,***************,      210.78999,        0.00000,        0.00000,       14.12984,       13.64086
               16200,               86400,               86400,                   0,             5531044,                   1,        1.00000,       13.60207,***************,      210.78999,        0.00000,        0.00000,       14.09105,       13.60207
               16500,               86400,               86400,                   0,             5531044,                   1,        1.00000,       13.56374,***************,      210.78999,        0.00000,        0.00000,       14.05272,       13.56374
               16800,               86400,               86400,                   0,             5531044,                   1,        1.00000,       13.52586,***************,      210.78999,        0.00000,        0.00000,       14.01484,       13.52586
               17100,               86400,               86400,                   0,             5531044,                   1,        1.00000,       13.48843,***************,      210.78999,        0.00000,        0.00000,       13.97741,       13.48843
               17400,               86400,               86400,                   0,             5531044,                   1,        1.00000,       13.45144,***************,      210.78999,        0.00000,        0.00000,       13.94041,       13.45144
               17700,               86400,               86400,                   0,             5531044,                   1,        1.00000,       13.41489,***************,      210.78999,        0.00000,        0.00000,       13.90386,       13.41489
               18000,               86400,               86400,                   0,             5531044,                   1,        1.00000,       13.37877,***************,      210.78999,        0.00000,        0.00000,       13.86774,       13.37877
               18300,               86400,               86400,                   0,             5531044,                   1,        1.00000,       13.34307,***************,      210.78999,        0.00000,        0.00000,       13.83204,       13.34307
               18600,               86400,               86400,                   0,             5531044,                   1,        1.00000,       13.30781,***************,      210.78999,        0.00000,        0.00000,       13.79677,       13.30781
               18900,               86400,               86400,                   0,             5531044,                   1,        1.00000,       13.27295,***************,      210.78999,        0.00000,        0.00000,       13.76191,       13.27295
               19200,               86400,               86400,                   0,             5531044,                   1,        1.00000,       13.23851,***************,      210.78999,        0.00000,        0.00000,       13.72747,       13.23851
               19500,               86400,               86400,                   0,             5531044,                   1,        1.00000,       13.20446,***************,      210.78999,        0.00000,        0.00000,       13.69342,       13.20446
