 Current Time, Timeslice Update Time, Weight Update Time, Gage Lookback Seconds, Gage ID, Current Persistence Weight Index, Current Persistence Weight, Inflow, Storage, Water Elevation, Gage Discharge, Persisted Outflow, Levelpool Outflow, Weighted Outflow
                3600,          1000000000,               86400,                   0,             1350180,                   1,        1.00000,       53.90917,***************,      274.62000,        0.00000,        0.00000,       53.90917,       53.90861
                7200,          1000000000,               86400,                   0,             1350180,                   1,        1.00000,       53.92339,***************,      274.62000,        0.00000,        0.00000,       53.92339,       53.92339
               10800,          1000000000,               86400,                   0,             1350180,                   1,        1.00000,       53.94251,***************,      274.62000,        0.00000,        0.00000,       53.94251,       53.94251
               14400,          1000000000,               86400,                   0,             1350180,                   1,        1.00000,       53.96544,***************,      274.62000,        0.00000,        0.00000,       53.96544,       53.96544
               18000,          1000000000,               86400,                   0,             1350180,                   1,        1.00000,       53.98980,***************,      274.62000,        0.00000,        0.00000,       53.98980,       53.98980
               21600,          1000000000,               86400,                   0,             1350180,                   1,        1.00000,       54.01357,***************,      274.62000,        0.00000,        0.00000,       54.01357,       54.01357
               25200,          1000000000,               86400,                   0,             1350180,                   1,        1.00000,       54.03508,***************,      274.62000,        0.00000,        0.00000,       54.03508,       54.03508
               28800,          1000000000,               86400,                   0,             1350180,                   1,        1.00000,       54.05361,***************,      274.62000,        0.00000,        0.00000,       54.05361,       54.05361
               32400,          1000000000,               86400,                   0,             1350180,                   1,        1.00000,       54.06937,***************,      274.62000,        0.00000,        0.00000,       54.06937,       54.06937
               36000,          1000000000,               86400,                   0,             1350180,                   1,        1.00000,       54.08192,***************,      274.62000,        0.00000,        0.00000,       54.08192,       54.08192
               39600,          1000000000,               86400,                   0,             1350180,                   1,        1.00000,       54.09164,***************,      274.62000,        0.00000,        0.00000,       54.09164,       54.09164
               43200,          1000000000,               86400,                   0,             1350180,                   1,        1.00000,       54.09810,***************,      274.62000,        0.00000,        0.00000,       54.09810,       54.09810
               46800,          1000000000,               86400,                   0,             1350180,                   1,        1.00000,       54.10159,***************,      274.62000,        0.00000,        0.00000,       54.10159,       54.10159
               50400,          1000000000,               86400,                   0,             1350180,                   1,        1.00000,       54.10273,***************,      274.62000,        0.00000,        0.00000,       54.10273,       54.10273
               54000,          1000000000,               86400,                   0,             1350180,                   1,        1.00000,       54.10282,***************,      274.62000,        0.00000,        0.00000,       54.10282,       54.10282
               57600,          1000000000,               86400,                   0,             1350180,                   1,        1.00000,       54.10229,***************,      274.62000,        0.00000,        0.00000,       54.10229,       54.10229
               61200,          1000000000,               86400,                   0,             1350180,                   1,        1.00000,       54.10180,***************,      274.62000,        0.00000,        0.00000,       54.10180,       54.10180
               64800,          1000000000,               86400,                   0,             1350180,                   1,        1.00000,       54.10145,***************,      274.62000,        0.00000,        0.00000,       54.10145,       54.10145
               68400,          1000000000,               86400,                   0,             1350180,                   1,        1.00000,       54.10119,***************,      274.62000,        0.00000,        0.00000,       54.10119,       54.10119
               72000,          1000000000,               86400,                   0,             1350180,                   1,        1.00000,       54.10075,***************,      274.62000,        0.00000,        0.00000,       54.10075,       54.10075
               75600,          1000000000,               86400,                   0,             1350180,                   1,        1.00000,       54.10026,***************,      274.62000,        0.00000,        0.00000,       54.10026,       54.10026
               79200,          1000000000,               86400,                   0,             1350180,                   1,        1.00000,       54.09975,***************,      274.62000,        0.00000,        0.00000,       54.09975,       54.09975
               82800,          1000000000,               86400,                   0,             1350180,                   1,        1.00000,       54.10023,***************,      274.62000,        0.00000,        0.00000,       54.10023,       54.10023
               86400,          1000000000,               86400,                   0,             1350180,                   1,        1.00000,       54.10165,***************,      274.62000,        0.00000,        0.00000,       54.10165,       54.10165
               90000,          1000000000,              172800,                   0,             1350180,                   2,        0.95452,       54.10278,***************,      274.62000,        0.00000,        0.00000,       54.10278,       54.10278
