 Current Time, Timeslice Update Time, Weight Update Time, Gage Lookback Seconds, Gage ID, Current Persistence Weight Index, Current Persistence Weight, Inflow, Storage, Water Elevation, Gage Discharge, Persisted Outflow, Levelpool Outflow, Weighted Outflow
                3600,          1000000000,               86400,                   0,             1350180,                   1,        1.00000,       53.90917,***************,      274.62000,        0.00000,        0.00000,       73.25551,       53.90861
                7200,          1000000000,               86400,                   0,             1350180,                   1,        1.00000,       53.92339,***************,      274.62000,        0.00000,        0.00000,       73.26973,       53.92339
               10800,          1000000000,               86400,                   0,             1350180,                   1,        1.00000,       53.94251,***************,      274.62000,        0.00000,        0.00000,       73.28886,       53.94251
               14400,          1000000000,               86400,                   0,             1350180,                   1,        1.00000,       53.96544,***************,      274.62000,        0.00000,        0.00000,       73.31178,       53.96544
               18000,          1000000000,               86400,                   0,             1350180,                   1,        1.00000,       53.98980,***************,      274.62000,        0.00000,        0.00000,       73.33616,       53.98980
               21600,          1000000000,               86400,                   0,             1350180,                   1,        1.00000,       54.01357,***************,      274.62000,        0.00000,        0.00000,       73.35993,       54.01357
               25200,          1000000000,               86400,                   0,             1350180,                   1,        1.00000,       54.03508,***************,      274.62000,        0.00000,        0.00000,       73.38145,       54.03508
               28800,          1000000000,               86400,                   0,             1350180,                   1,        1.00000,       54.05361,***************,      274.62000,        0.00000,        0.00000,       73.39998,       54.05361
               32400,          1000000000,               86400,                   0,             1350180,                   1,        1.00000,       54.06937,***************,      274.62000,        0.00000,        0.00000,       73.41574,       54.06937
               36000,          1000000000,               86400,                   0,             1350180,                   1,        1.00000,       54.08192,***************,      274.62000,        0.00000,        0.00000,       73.42829,       54.08192
               39600,          1000000000,               86400,                   0,             1350180,                   1,        1.00000,       54.09164,***************,      274.62000,        0.00000,        0.00000,       73.43801,       54.09164
               43200,          1000000000,               86400,                   0,             1350180,                   1,        1.00000,       54.09810,***************,      274.62000,        0.00000,        0.00000,       73.44447,       54.09810
               46800,          1000000000,               86400,                   0,             1350180,                   1,        1.00000,       54.10159,***************,      274.62000,        0.00000,        0.00000,       73.44797,       54.10159
