                                                                                                                                                                                                                                Inflow, Water Elevation, Outflow
    16.41416931,   210.72700500,     0.37264398
    16.34501076,   210.73075867,     0.37815359
    16.27684021,   210.73449707,     0.38384572
    16.20959091,   210.73822021,     0.38970900
    16.14314079,   210.74192810,     0.39573336
    16.07741928,   210.74562073,     0.40190971
    16.01235962,   210.74929810,     0.40822995
    15.94793987,   210.75296021,     0.41468650
    15.88411045,   210.75660706,     0.42127258
    15.82085037,   210.76023865,     0.42798185
    15.75815010,   210.76385498,     0.43480843
    15.69598961,   210.76745605,     0.44174689
    15.63438034,   210.77102661,     0.44876182
    15.57332039,   210.77459717,     0.45590842
    15.51280975,   210.77815247,     0.46315244
    15.45285034,   210.78169250,     0.47048968
    15.39344978,   210.78521729,     0.47791609
    15.33467007,   210.78874207,     0.48546070
    15.27645969,   210.78999329,    10.35742950
    15.21883011,   210.78999329,    15.21883011
    15.16178036,   210.78999329,    15.16178036
    15.10531044,   210.78999329,    15.10531044
    15.04942989,   210.78999329,    15.04942989
    14.99415016,   210.78999329,    14.99415016
    14.93945980,   210.78999329,    14.93945980
    14.88537025,   210.78999329,    14.88537025
    14.83189011,   210.78999329,    14.83189011
    14.77900028,   210.78999329,    14.77900028
    14.72671032,   210.78999329,    14.72671032
    14.67500973,   210.78999329,    14.67500973
    14.62390995,   210.78999329,    14.62390995
    14.57339001,   210.78999329,    14.57339001
    14.52346992,   210.78999329,    14.52346992
    14.47412968,   210.78999329,    14.47412968
    14.42537022,   210.78999329,    14.42537022
    14.37718010,   210.78999329,    14.37718010
    14.32956982,   210.78999329,    14.32956982
    14.28252983,   210.78999329,    14.28252983
    14.23604965,   210.78999329,    14.23604965
    14.19011974,   210.78999329,    14.19011974
    14.14474964,   210.78999329,    14.14474964
    14.09992027,   210.78999329,    14.09992027
    14.05562019,   210.78999329,    14.05562019
    14.01185989,   210.78999329,    14.01185989
    13.96862030,   210.78999329,    13.96862030
    13.92588997,   210.78999329,    13.92588997
    13.88368034,   210.78999329,    13.88368034
    13.84197998,   210.78999329,    13.84197998
    13.80076981,   210.78999329,    13.80076981
    13.76006985,   210.78999329,    13.76006985
    13.71986008,   210.78999329,    13.71986008
    13.68012047,   210.78999329,    13.68012047
    13.64085960,   210.78999329,    13.64085960
    13.60206985,   210.78999329,    13.60206985
    13.56373978,   210.78999329,    13.56373978
    13.52585983,   210.78999329,    13.52585983
    13.48843002,   210.78999329,    13.48843002
    13.45143986,   210.78999329,    13.45143986
    13.41489029,   210.78999329,    13.41489029
    13.37876987,   210.78999329,    13.37876987
    13.34307003,   210.78999329,    13.34307003
    13.30780983,   210.78999329,    13.30780983
    13.27295017,   210.78999329,    13.27295017
    13.23851013,   210.78999329,    13.23851013
    13.20446014,   210.78999329,    13.20446014
    13.17080975,   210.78999329,    13.17080975
    13.13755035,   210.78999329,    13.13755035
    13.10466957,   210.78999329,    13.10466957
    13.07217026,   210.78999329,    13.07217026
    13.04004955,   210.78999329,    13.04004955
    13.00829029,   210.78999329,    13.00829029
    12.97690010,   210.78999329,    12.97690010
    12.94585991,   210.78999329,    12.94585991
    12.91518974,   210.78999329,    12.91518974
    12.88486958,   210.78999329,    12.88486958
    12.85488987,   210.78999329,    12.85488987
    12.82524967,   210.78999329,    12.82524967
    12.79594040,   210.78999329,    12.79594040
    12.76696014,   210.78999329,    12.76696014
    12.73830986,   210.78999329,    12.73830986
    12.70997047,   210.78999329,    12.70997047
    12.68194962,   210.78999329,    12.68194962
    12.65423965,   210.78999329,    12.65423965
    12.62683964,   210.78999329,    12.62683964
    12.59974003,   210.78999329,    12.59974003
    12.57295036,   210.78999329,    12.57295036
    12.54646015,   210.78999329,    12.54646015
    12.52025032,   210.78999329,    12.52025032
    12.49433041,   210.78999329,    12.49433041
    12.46868992,   210.78999329,    12.46868992
    12.44332981,   210.78999329,    12.44332981
    12.41825008,   210.78999329,    12.41825008
    12.39342976,   210.78999329,    12.39342976
    12.36888981,   210.78999329,    12.36888981
    12.34459972,   210.78999329,    12.34459972
    12.32057953,   210.78999329,    12.32057953
    12.29681015,   210.78999329,    12.29681015
    12.27330971,   210.78999329,    12.27330971
    12.25006008,   210.78999329,    12.25006008
    12.22704983,   210.78999329,    12.22704983
    12.20427990,   210.78999329,    12.20427990
    12.18175983,   210.78999329,    12.18175983
    12.15946960,   210.78999329,    12.15946960
    12.13741016,   210.78999329,    12.13741016
    12.11559010,   210.78999329,    12.11559010
    12.09399033,   210.78999329,    12.09399033
    12.07262039,   210.78999329,    12.07262039
    12.05146980,   210.78999329,    12.05146980
