Inflow,Water Elevation,Outflow
   189.22898865,  1331.18090820,     1.81052911
   189.27005005,  1331.18176270,     1.81057537
   189.31048584,  1331.18261719,     1.81062162
   189.35041809,  1331.18347168,     1.81066799
   189.38964844,  1331.18432617,     1.81071436
   189.42819214,  1331.18518066,     1.81076050
   189.46588135,  1331.18603516,     1.81080687
   189.50273132,  1331.18688965,     1.81085324
   189.53858948,  1331.18774414,     1.81089938
   189.57345581,  1331.18859863,     1.81094575
   189.60719299,  1331.18945312,     1.81099212
   189.63978577,  1331.19030762,     1.81103826
   189.67109680,  1331.19116211,     1.81108463
   189.70109558,  1331.19201660,     1.81113088
   189.72967529,  1331.19287109,     1.81117713
   189.75679016,  1331.19372559,     1.81122339
   189.78230286,  1331.19458008,     1.81126976
   189.80616760,  1331.19543457,     1.81131589
   189.82821655,  1331.19628906,     1.81136227
   189.84841919,  1331.19714355,     1.81140864
   189.86653137,  1331.19799805,     1.81145477
   189.88255310,  1331.19885254,     1.81150115
   189.89622498,  1331.19970703,     1.81154728
   189.90751648,  1331.20056152,     1.81159365
   189.91612244,  1331.20141602,     1.81164002
   189.92199707,  1331.20227051,     1.81168616
   189.92481995,  1331.20312500,     1.81173253
   189.92446899,  1331.20397949,     1.81177866
   189.92066956,  1331.20483398,     1.81182504
   189.91319275,  1331.20568848,     1.81187141
   189.90174866,  1331.20654297,     1.81191754
   189.88610840,  1331.20739746,     1.81196368
   189.86592102,  1331.20825195,     1.81201005
   189.84088135,  1331.20910645,     1.81205642
   189.81063843,  1331.20996094,     1.81210256
   189.77487183,  1331.21081543,     1.81214893
   189.73316956,  1331.21166992,     1.81219506
   189.68519592,  1331.21252441,     1.81224144
   189.63050842,  1331.21337891,     1.81228757
   189.56872559,  1331.21423340,     1.81233394
   189.49938965,  1331.21508789,     1.81238008
   189.42207336,  1331.21594238,     1.81242645
   189.33634949,  1331.21679688,     1.81247258
   189.24176025,  1331.21765137,     1.81251895
   189.13781738,  1331.21850586,     1.81256509
   189.02407837,  1331.21936035,     1.81261122
   188.90008545,  1331.22021484,     1.81265759
   188.76535034,  1331.22106934,     1.81270397
   188.61944580,  1331.22192383,     1.81275010
   188.46188354,  1331.22277832,     1.81279647
   188.29223633,  1331.22363281,     1.81284261
   188.11006165,  1331.22448730,     1.81288874
   187.91493225,  1331.22534180,     1.81293511
   187.70643616,  1331.22619629,     1.81298125
   187.48419189,  1331.22705078,     1.81302762
   187.24778748,  1331.22790527,     1.81307375
   186.99690247,  1331.22875977,     1.81311989
   186.73118591,  1331.22961426,     1.81316626
   186.45034790,  1331.23034668,     1.81320596
   186.15406799,  1331.23107910,     1.81324542
   185.84213257,  1331.23181152,     1.81328511
   185.51423645,  1331.23254395,     1.81332481
   185.17022705,  1331.23327637,     1.81336427
   184.80989075,  1331.23400879,     1.81340396
   184.43312073,  1331.23474121,     1.81344354
   184.03974915,  1331.23547363,     1.81348324
   183.62973022,  1331.23620605,     1.81352293
   183.20295715,  1331.23693848,     1.81356239
   182.75942993,  1331.23767090,     1.81360209
   182.29908752,  1331.23840332,     1.81364155
   181.82205200,  1331.23913574,     1.81368124
   181.32827759,  1331.23986816,     1.81372094
   180.81791687,  1331.24060059,     1.81376064
    80.29099274,  1331.24096680,     1.81378019
   179.74774170,  1331.24169922,     1.81381989
   179.18820190,  1331.24243164,     1.81385958
   178.61267090,  1331.24316406,     1.81389928
   178.02128601,  1331.24389648,     1.81393874
   177.41436768,  1331.24462891,     1.81397843
   176.79206848,  1331.24536133,     1.81401813
   176.15475464,  1331.24609375,     1.81405759
   175.50268555,  1331.24682617,     1.81409729
   174.83627319,  1331.24755859,     1.81413674
   174.15576172,  1331.24829102,     1.81417644
   173.46162415,  1331.24902344,     1.81421602
   172.75416565,  1331.24975586,     1.81425560
   172.03388977,  1331.25048828,     1.81429517
   171.30110168,  1331.25122070,     1.81433487
   170.55633545,  1331.25195312,     1.81437433
   169.79997253,  1331.25268555,     1.81441402
   169.03254700,  1331.25341797,     1.81445348
   168.25440979,  1331.25415039,     1.81449318
   167.46615601,  1331.25488281,     1.81453288
   166.66815186,  1331.25561523,     1.81457233
   165.86099243,  1331.25634766,     1.81461203
   165.04508972,  1331.25708008,     1.81465173
   164.22100830,  1331.25781250,     1.81469119
   163.38912964,  1331.25854492,     1.81473088
   162.55010986,  1331.25927734,     1.81477034
   161.70428467,  1331.26000977,     1.81481004
   160.85229492,  1331.26074219,     1.81484950
   159.99452209,  1331.26147461,     1.81488919
   159.13156128,  1331.26220703,     1.81492889
   158.26382446,  1331.26293945,     1.81496835
   157.39187622,  1331.26354980,     1.81500137
   156.51611328,  1331.26416016,     1.81503427
   155.63714600,  1331.26477051,     1.81506729
   154.75531006,  1331.26538086,     1.81510031
   153.87120056,  1331.26599121,     1.81513333
   152.98516846,  1331.26660156,     1.81516635
   152.09779358,  1331.26721191,     1.81519926
   151.20939636,  1331.26782227,     1.81523228
   150.32057190,  1331.26843262,     1.81526530
   149.43165588,  1331.26904297,     1.81529832
   148.54315186,  1331.26965332,     1.81533110
   147.65539551,  1331.27026367,     1.81536412
   146.76892090,  1331.27087402,     1.81539714
   145.88404846,  1331.27148438,     1.81543005
   145.00128174,  1331.27209473,     1.81546307
   144.12091064,  1331.27270508,     1.81549609
