                                                                                                             Current_Time, Time_Step, Time_Series_Update_Time, Lookback_Seconds, Time_Series_Index, Gage_ID, Inflow, Water_Elevation, Levelpool_Outflow, Outflow
                3600,                3600,                3600,                   0,                   1,CCHC1,      189.22899,     1331.18323,        1.81065,        1.81065
                7200,                3600,                3600,                   0,                   1,CCHC1,      189.27005,     1331.18640,        1.81083,        1.81083
               10800,                3600,                3600,                   0,                   1,CCHC1,      189.31049,     1331.18958,        1.81100,        1.81100
               14400,                3600,                3600,                   0,                   1,CCHC1,      189.35042,     1331.19275,        1.81117,        1.81117
               18000,                3600,                3600,                   0,                   1,CCHC1,      189.38965,     1331.19592,        1.81134,        1.81134
               21600,                3600,                3600,                   0,                   1,CCHC1,      189.42819,     1331.19910,        1.81151,        1.81151
               25200,                3600,                3600,                   0,                   1,CCHC1,      189.46588,     1331.20227,        1.81169,        1.81169
               28800,                3600,                3600,                   0,                   1,CCHC1,      189.50273,     1331.20544,        1.81186,        1.81186
               32400,                3600,                3600,                   0,                   1,CCHC1,      189.53859,     1331.20862,        1.81203,        1.81203
               36000,                3600,                3600,                   0,                   1,CCHC1,      189.57346,     1331.21179,        1.81220,        1.81220
               39600,                3600,                3600,                   0,                   1,CCHC1,      189.60719,     1331.21497,        1.81237,        1.81237
               43200,                3600,                3600,                   0,                   1,CCHC1,      189.63979,     1331.21814,        1.81255,        1.81255
               46800,                3600,                3600,                   0,                   1,CCHC1,      189.67110,     1331.22131,        1.81272,        1.81272
               50400,                3600,                3600,                   0,                   1,CCHC1,      189.70110,     1331.22449,        1.81289,        1.81289
               54000,                3600,                3600,                   0,                   1,CCHC1,      189.72968,     1331.22766,        1.81306,        1.81306
               57600,                3600,                3600,                   0,                   1,CCHC1,      189.75679,     1331.23083,        1.81323,        1.81323
               61200,                3600,                3600,                   0,                   1,CCHC1,      189.78230,     1331.23401,        1.81340,        1.81340
               64800,                3600,                3600,                   0,                   1,CCHC1,      189.80617,     1331.23718,        1.81358,        1.81358
               68400,                3600,                3600,                   0,                   1,CCHC1,      189.82822,     1331.24036,        1.81375,        1.81375
               72000,                3600,                3600,                   0,                   1,CCHC1,      189.84842,     1331.24353,        1.81392,        1.81392
               75600,                3600,                3600,                   0,                   1,CCHC1,      189.86653,     1331.24670,        1.81409,        1.81409
               79200,                3600,                3600,                   0,                   1,CCHC1,      189.88255,     1331.24988,        1.81426,        1.81426
               82800,                3600,                3600,                   0,                   1,CCHC1,      189.89622,     1331.25305,        1.81443,        1.81443
               86400,                3600,                3600,                   0,                   1,CCHC1,      189.90752,     1331.25623,        1.81461,        1.81461
               90000,                3600,                3600,                   0,                   1,CCHC1,      189.91612,     1331.25940,        1.81478,        1.81478
               93600,                3600,                3600,                   0,                   1,CCHC1,      189.92200,     1331.26257,        1.81495,        1.81495
               97200,                3600,                3600,                   0,                   1,CCHC1,      189.92482,     1331.26575,        1.81512,        1.81512
              100800,                3600,                3600,                   0,                   1,CCHC1,      189.92447,     1331.26892,        1.81529,        1.81529
              104400,                3600,                3600,                   0,                   1,CCHC1,      189.92067,     1331.27209,        1.81546,        1.81546
              108000,                3600,                3600,                   0,                   1,CCHC1,      189.91319,     1331.27527,        1.81563,        1.81563
              111600,                3600,                3600,                   0,                   1,CCHC1,      189.90175,     1331.27844,        1.81581,        1.81581
              115200,                3600,                3600,                   0,                   1,CCHC1,      189.88611,     1331.28162,        1.81598,        1.81598
              118800,                3600,                3600,                   0,                   1,CCHC1,      189.86592,     1331.28479,        1.81615,        1.81615
              122400,                3600,                3600,                   0,                   1,CCHC1,      189.84088,     1331.28796,        1.81632,        1.81632
              126000,                3600,                3600,                   0,                   1,CCHC1,      189.81064,     1331.29114,        1.81649,        1.81649
              129600,                3600,                3600,                   0,                   1,CCHC1,      189.77487,     1331.29431,        1.81666,        1.81666
              133200,                3600,                3600,                   0,                   1,CCHC1,      189.73317,     1331.29749,        1.81683,        1.81683
              136800,                3600,                3600,                   0,                   1,CCHC1,      189.68520,     1331.30066,        1.81701,        1.81701
              140400,                3600,                3600,                   0,                   1,CCHC1,      189.63051,     1331.30383,        1.81718,        1.81718
              144000,                3600,                3600,                   0,                   1,CCHC1,      189.56873,     1331.30701,        1.81735,        1.81735
              147600,                3600,                3600,                   0,                   1,CCHC1,      189.49939,     1331.31018,        1.81752,        1.81752
              151200,                3600,                3600,                   0,                   1,CCHC1,      189.42207,     1331.31335,        1.81769,        1.81769
              154800,                3600,                3600,                   0,                   1,CCHC1,      189.33635,     1331.31653,        1.81786,        1.81786
              158400,                3600,                3600,                   0,                   1,CCHC1,      189.24176,     1331.31970,        1.81803,        1.81803
              162000,                3600,                3600,                   0,                   1,CCHC1,      189.13782,     1331.32288,        1.81821,        1.81821
              165600,                3600,                3600,                   0,                   1,CCHC1,      189.02408,     1331.32605,        1.81838,        1.81838
              169200,                3600,                3600,                   0,                   1,CCHC1,      188.90009,     1331.32922,        1.81855,        1.81855
              172800,                3600,                3600,                   0,                   1,CCHC1,      188.76535,     1331.33240,        1.81872,        1.81872
              176400,                3600,                3600,                   0,                   1,CCHC1,      188.61945,     1331.33557,        1.81889,        1.81889
              180000,                3600,                3600,                   0,                   1,CCHC1,      188.46188,     1331.33875,        1.81906,        1.81906
              183600,                3600,                3600,                   0,                   1,CCHC1,      188.29224,     1331.34192,        1.81923,        1.81923
              187200,                3600,                3600,                   0,                   1,CCHC1,      188.11006,     1331.34509,        1.81940,        1.81940
              190800,                3600,                3600,                   0,                   1,CCHC1,      187.91493,     1331.34827,        1.81957,        1.81957
              194400,                3600,                3600,                   0,                   1,CCHC1,      187.70644,     1331.35144,        1.81975,        1.81975
              198000,                3600,                3600,                   0,                   1,CCHC1,      187.48419,     1331.35461,        1.81992,        1.81992
              201600,                3600,                3600,                   0,                   1,CCHC1,      187.24779,     1331.35779,        1.82009,        1.82009
              205200,                3600,                3600,                   0,                   1,CCHC1,      186.99690,     1331.36096,        1.82026,        1.82026
